Title,Stored Price,Live Price,Status
"A Light in the Attic",£51.77,£51.77,✅ Match
"Tipping the Velvet",£53.74,£53.74,✅ Match
"Soumission",£50.10,£50.10,✅ Match
"Sharp Objects",£47.82,£47.82,✅ Match
"Sapiens: A Brief History of Humankind",£54.23,£54.23,✅ Match
"The Requiem Red",£22.65,£22.65,✅ Match
"The Dirty Little Secrets of Getting Your Dream Job",£33.34,£33.34,✅ Match
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,£17.93,✅ Match
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",£22.60,£22.60,✅ Match
"The Black Maria",£52.15,£52.15,✅ Match
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,£13.99,✅ Match
"Shakespeare's Sonnets",£20.66,£20.66,✅ Match
"Set Me Free",£17.46,£17.46,✅ Match
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)",£52.29,£52.29,✅ Match
"Rip it Up and Start Again",£35.02,£35.02,✅ Match
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,£57.25,✅ Match
"Olio",£23.88,£23.88,✅ Match
"Mesaerion: The Best Science Fiction Stories 1800-1849",£37.59,£37.59,✅ Match
"Libertarianism for Beginners",£51.33,£51.33,✅ Match
"It's Only the Himalayas",£45.17,£45.17,✅ Match
"In Her Wake",£12.84,£12.84,✅ Match
"How Music Works",£37.32,£37.32,✅ Match
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,£30.52,✅ Match
"Chase Me (Paris Nights #2)",£25.27,£25.27,✅ Match
"Black Dust",£34.53,£34.53,✅ Match
"Birdsong: A Story in Pictures",£54.64,£54.64,✅ Match
"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana",£22.50,£22.50,✅ Match
"Aladdin and His Wonderful Lamp",£53.13,£53.13,✅ Match
"Worlds Elsewhere: Journeys Around Shakespeare’s Globe",£40.30,£40.30,✅ Match
"Wall and Piece",£44.18,£44.18,✅ Match
"The shit Agreements: A Practical Guide to Personal Freedom",£17.66,NOT FOUND,❌ Missing on site
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate",£31.05,£31.05,✅ Match
"The Elephant Tree",£23.82,£23.82,✅ Match
"The Bear and the Piano",£36.89,£36.89,✅ Match
"Sophie's World",£15.94,£15.94,✅ Match
"Penny Maybe",£33.29,£33.29,✅ Match
"Maude (1883-1993):She Grew Up with the country",£18.02,£18.02,✅ Match
"In a Dark, Dark Wood",£19.63,£19.63,✅ Match
"Behind Closed Doors",£52.22,£52.22,✅ Match
"You can't bury them all: Poems",£33.63,£33.63,✅ Match
